policy,seed,epoch,quota,coverage_mean,coverage_p10,coverage_p90,epsilon_mean,epsilon_p90,n_anchors
proportional,42,4,23,0.7845135095119224,0.706504312209785,0.8770248933096324,0.60991159279373,0.8277822117751943,2048
proportional,42,5,23,0.8117010520570884,0.7411864194585044,0.888300893767769,0.6100854832349139,0.8304490111393792,2048
proportional,43,1,23,0.5530435514628382,0.432794800817051,0.7008606447036617,0.6115992981693177,0.8374915659972181,2048
proportional,43,2,23,0.6783922842433302,0.5789435405302208,0.8304067747454509,0.6111692637721875,0.8271024834658667,2048
proportional,43,3,23,0.7431870883406451,0.6570982029295832,0.8588109108397878,0.6147344790122046,0.8305612469491032,2048
proportional,43,4,23,0.7835772544293228,0.705482811932286,0.8761134674789615,0.6088262669179796,0.834402835089994,2048
proportional,43,5,23,0.8108888032600527,0.7414127810152458,0.887447200307256,0.6142434400266072,0.834277303472182,2048
proportional,44,1,23,0.5532903028878462,0.4378722370803388,0.7003680974700239,0.6107078848777913,0.8258281085381931,2048
proportional,44,2,23,0.680633754716903,0.5835150639219461,0.8283281261450829,0.6076251019238142,0.8213884419536569,2048
proportional,44,3,23,0.7443375575168373,0.6553985891426112,0.8593610277497667,0.6105449081640869,0.8264481755821629,2048
proportional,44,4,23,0.7839859506599681,0.7079126691472042,0.8727636524329656,0.6132019156031138,0.8330887146125762,2048
proportional,44,5,23,0.8112456832095682,0.7425144255772544,0.886620430584142,0.6124583508689003,0.836269591259666,2048
uniform,42,1,23,0.04829828249323678,0.003061802385645225,0.12433140954291942,3.8534247460048707,5.788764596929023,2048
uniform,42,2,23,0.09230861293275927,0.010130070284307829,0.234042087443534,3.881759193961613,5.834837288234184,2048
uniform,42,3,23,0.1335614664253654,0.02072899161455069,0.317463704824263,3.8283532972600396,5.8336598284131504,2048
uniform,42,4,23,0.16997037996154138,0.03423589357874964,0.40287662250977924,3.8864347054857857,5.84704803348484,2048
uniform,42,5,23,0.20394374710397947,0.04902383236807949,0.4696296078979766,3.8565240702242654,5.741604563537185,2048
uniform,43,1,23,0.04794291511514255,0.002957595731183925,0.12064395009866381,3.8438033720202016,5.823378736861224,2048
uniform,43,2,23,0.09262394243838123,0.00969951080828674,0.23200944959044364,3.8602120911670728,5.869903940207289,2048
uniform,43,3,23,0.13284433546130556,0.02078057790833609,0.3160781557304569,3.860056594985897,5.851980718213889,2048
uniform,43,4,23,0.17009738786587614,0.033790205922709406,0.4094374968158999,3.8750417474572023,5.83868520039804,2048
uniform,43,5,23,0.20650777930703917,0.0471968231622835,0.48415139435745547,3.834730994826277,5.824949922617899,2048
uniform,44,1,23,0.04758677214315179,0.002977716102564686,0.12411329511960097,3.8862577304317956,5.8165986896712445,2048
uniform,44,2,23,0.09239316463738886,0.010371168543248545,0.23363663105101892,3.8540858630978763,5.839527991344325,2048
uniform,44,3,23,0.13181159044373508,0.021414987336531577,0.3262794605240632,3.890145679477013,5.8402921852001946,2048
uniform,44,4,23,0.16846141348135873,0.0343118318571193,0.39670062986978394,3.86690990297311,5.812277679314136,2048
uniform,44,5,23,0.20279977767653012,0.047753830899017406,0.4580335396834942,3.873439265546559,5.813214873717691,2048
