pair,ablation,arm,seed,graph_key,wall_clock_s,extra_args,save_dir,sts_avg,pair_avg,cls_avg,avg,avg_in,avg_out,emotion,wic,stsb,banking77,tweet,mrpc,scitail,sick,sts12,teacher_weighted_distortion,teacher_student_spearman,cosine_rmse,anisotropy,effective_rank,uniformity,encoded_texts_cum,encoded_tokens_cum,peak_memory_mb,loss,loss_rel,loss_row,row_exposed_mass,run_id,git_sha,git_dirty,gpu,support_policy,relation_target,use_ambient,knn_mode,row_weight,diffusion_scales,diffusion_quota,hard_neg_k,random_neg_k,direct_temp,learning_rate,policy
qwen3_0_6b_to_minilmv2_h384,s1,topk,43,base,336,--support_policy topk,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/topk/seed43,75.02017059078686,76.83096631930641,74.07599343149613,75.30904344719646,68.77,78.58,62.8900844115716,65.69882194924229,77.72646588953953,88.298961116559,71.03893476635777,82.49804677134244,82.29603023733449,73.97455548738883,73.3594903954322,0.01698087714612484,0.8040573146989266,0.14334727823734283,0.44167590141296387,232.32001828855593,-2.105201244354248,4672207,70325758,469.25830078125,0.9520255194456091,0.5826390478848281,0.36938647043083517,0.5947011483224083,20260902-164905-cf2b3d,,,NVIDIA H200,topk,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,topk
qwen3_0_6b_to_minilmv2_h384,s1,topk,44,base,333,--support_policy topk,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/topk/seed44,75.04177394507391,76.91583741089043,73.28876682593368,75.08212606063267,68.42,78.42,61.63784732735493,65.88523797890608,77.72526326391802,87.946455664789,70.28199748565709,82.4651302066085,82.39714404715673,73.98135806928853,73.41870050201517,0.017839699983596802,0.806632681186136,0.14695389568805695,0.4457066059112549,231.83387985218786,-2.0875391960144043,4673270,70337946,470.42626953125,0.9504380497322263,0.5814169189093802,0.3690211315290623,0.595170552131689,20260902-171405-10eb84,,,NVIDIA H200,topk,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,topk
qwen3_0_6b_to_minilmv2_h384,s1,uniform,42,base,341,--support_policy uniform,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/uniform/seed42,73.75884279572442,76.56119839130534,74.22134327654489,74.84712815452488,68.9,77.82,64.34623721799508,65.95024287562129,76.390123761243,87.84339229801506,70.47440031362451,82.2184464365411,81.5149058617536,73.17708905026468,71.70931557566556,0.03718259558081627,0.7770239189823099,0.22035981714725494,0.5266892910003662,225.94330695032716,-1.792380928993225,4665050,70069550,470.42626953125,1.7447769766170267,1.2237516263084953,0.5210253534158824,0.4323202639959435,20260902-163511-20f08b,,,NVIDIA H200,uniform,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,uniform
qwen3_0_6b_to_minilmv2_h384,s1,uniform,43,base,357,--support_policy uniform,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/uniform/seed43,73.6944280824332,76.52021527120193,74.09639638810073,74.77034658057862,68.62,77.85,63.669302625906255,65.99211195518403,76.198039164446,87.76937225143026,70.85051428696566,82.00225158508546,81.56628227333628,73.37097445190166,71.51427063095196,0.03613054379820824,0.7767667030790304,0.21778595447540283,0.5240663886070251,226.10464493460967,-1.8041476011276245,4663568,70054540,469.75830078125,1.7446998696756588,1.2235734276296968,0.521126441339746,0.43151262360161513,20260902-165938-732e34,,,NVIDIA H200,uniform,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,uniform
qwen3_0_6b_to_minilmv2_h384,s1,uniform,44,base,364,--support_policy uniform,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/uniform/seed44,73.50810004161156,76.4795084500029,73.92539932302077,74.63766927154508,68.37,77.77,63.04228199434358,65.97675480496402,76.09592379237853,88.01755152254299,70.71636445217574,81.93377184159245,81.52799870345223,73.26196062270992,71.1664157097462,0.03667618706822395,0.7751198249160154,0.21900849044322968,0.5252681374549866,225.8437523410319,-1.7985541820526123,4663170,70040252,469.87255859375,1.7412002482120459,1.2190247440790114,0.522175503144332,0.4316549226288547,20260902-172520-dfced5,,,NVIDIA H200,uniform,diffusion,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,uniform
qwen3_0_6b_to_minilmv2_h384,s1,uniform_corpus,42,base,343,--relation_target ambient_only --row_weight 0 --diffusion_quota 0 --hard_neg_k 0 --random_neg_k 89,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/uniform_corpus/seed42,70.10192765505101,75.97124293833777,73.61257201810088,73.22858087049656,66.22,76.73,60.943346862736725,66.25879666132522,71.47032662593207,87.55059652800459,72.34377266356135,82.28580979919123,79.36912235449687,71.60807800541808,67.22737833380287,0.04949470981955528,0.9047548250271031,0.2460806965827942,0.5601156949996948,241.42036655472873,-1.6571543216705322,4986868,82135259,466.33837890625,0.11635804003307605,0.11635804003307605,0.0,0.0,20260902-164323-adc54c,,,NVIDIA H200,hybrid,ambient_only,True,mutual,0.0,"[1, 2, 4]",0,0,89,0.1,3e-05,uniform_corpus
qwen3_0_6b_to_minilmv2_h384,s1,uniform_corpus,43,base,355,--relation_target ambient_only --row_weight 0 --diffusion_quota 0 --hard_neg_k 0 --random_neg_k 89,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/uniform_corpus/seed43,70.34104577327327,76.09633041625263,73.9642438712968,73.46720668694088,66.6,76.9,61.651344564335865,66.31709016784973,71.8169161470718,87.71091308693448,72.5304739626201,82.35367600030239,79.61822508060574,71.79716264638044,67.40905852636755,0.048407528549432755,0.90427709922122,0.24432815611362457,0.5584639310836792,241.89275840728013,-1.6665996313095093,4988055,82149281,465.77880859375,0.11661079871993495,0.11661079871993495,0.0,0.0,20260902-170809-0c2748,,,NVIDIA H200,hybrid,ambient_only,True,mutual,0.0,"[1, 2, 4]",0,0,89,0.1,3e-05,uniform_corpus
qwen3_0_6b_to_minilmv2_h384,s1,uniform_corpus,44,base,310,--relation_target ambient_only --row_weight 0 --diffusion_quota 0 --hard_neg_k 0 --random_neg_k 89,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s1/uniform_corpus/seed44,70.3245183044642,76.08977671280873,73.96882375960831,73.46103959229374,66.7,76.84,62.05489314316234,66.3043366502014,71.72989006628751,87.4821221896255,72.36945594603709,82.32743007695677,79.63756341126802,71.82843824158802,67.41522660551709,0.04806392639875412,0.9038497820160909,0.24243611097335815,0.5564618706703186,241.5860482721624,-1.6724660396575928,4987177,82135100,465.75830078125,0.11631736138138161,0.11631736138138161,0.0,0.0,20260902-173358-c4c64f,,,NVIDIA H200,hybrid,ambient_only,True,mutual,0.0,"[1, 2, 4]",0,0,89,0.1,3e-05,uniform_corpus
qwen3_0_6b_to_minilmv2_h384,s2,local_only,42,r1,331,--diffusion_scales 1,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s2/local_only/seed42,75.1662443039205,76.94076921939795,73.65168391677118,75.25289914669655,68.58,78.59,62.00474526337717,66.01369829033766,77.72443004178446,88.20991837606194,70.74038811087443,82.5615433228635,82.2470660449927,74.27606170682874,73.4982411631483,0.024795860052108765,0.8142440136136172,0.18063746392726898,0.48488545417785645,233.02913949393084,-1.9419349431991577,4381089,64191648,469.75830078125,0.9800260411619575,0.57974649393728,0.4002795469421911,0.49484635246873465,20260902-173910-3ddc2a,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,[1],15,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,s2,local_only,43,r1,320,--diffusion_scales 1,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s2/local_only/seed43,75.00226937623664,77.03088254327854,73.36542413788915,75.13285868580145,68.3,78.55,61.222172642253135,66.2015947102379,77.4779474799425,88.09159318999178,70.78250658142254,82.49537325799426,82.39567966160347,74.07040345574705,73.4584571930204,0.023908093571662903,0.8140195420894593,0.1769055724143982,0.48071256279945374,232.56662453092446,-1.9580968618392944,4380863,64170641,468.75830078125,0.9824586386364218,0.5798343805622715,0.4026242565204747,0.4945549357558879,20260902-174440-6bf86c,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,[1],15,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,s2,local_only,44,r1,310,--diffusion_scales 1,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s2/local_only/seed44,75.10469144303713,76.99494921029778,73.78215010775749,75.29393025369747,68.67,78.61,62.37920029944849,66.00204042830482,77.62716855377411,88.2238372808342,70.74341274298975,82.71014215670029,82.27266504588822,74.09238838497551,73.59451739036173,0.02428397536277771,0.8148404959411275,0.1783323585987091,0.48231616616249084,232.4633278697528,-1.9518606662750244,4379698,64182342,469.25830078125,0.9823117468029402,0.5797938361269603,0.4025179122296555,0.4942076552253199,20260902-175000-b05424,,,NVIDIA H200,hybrid,diffusion,True,mutual,1.0,[1],15,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,s3,direct_target,42,base,323,--relation_target direct,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s3/direct_target/seed42,75.12334313981786,76.70327700695834,73.45533506313403,75.09398506997007,68.13,78.58,61.67119038709323,65.44634428651248,77.26315917935389,88.36871622657898,70.32609857572986,82.39059249467564,82.2728942396869,74.00891845071752,74.0979517893822,0.029752302914857864,0.804362578832142,0.20293939113616943,0.508711576461792,235.26403897431854,-1.855084776878357,4689556,70801037,469.75830078125,0.667466281997084,0.27938035257619703,0.3880859277259682,0.513564250339264,20260902-175511-019cc4,,,NVIDIA H200,hybrid,direct,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,s3,direct_target,43,base,358,--relation_target direct,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s3/direct_target/seed43,75.06120493533415,76.88748178005277,73.60871073070804,75.18579914869832,68.29,78.63,62.083427820869055,65.53326586973718,77.25950814865311,88.3062232489053,70.43648112234973,82.31638155004968,82.81279792037145,73.90437401679092,74.01973264055839,0.028455819934606552,0.8044806157671088,0.19806358218193054,0.5033817291259766,235.28842976070533,-1.8752145767211914,4686203,70748706,469.75830078125,0.6664134916536051,0.2796480818099885,0.38676541266848125,0.512802000011878,20260902-180033-379d25,,,NVIDIA H200,hybrid,direct,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,hybrid
qwen3_0_6b_to_minilmv2_h384,s3,direct_target,44,base,349,--relation_target direct,runs/ablation/qwen3_0_6b_to_minilmv2_h384/s3/direct_target/seed44,75.18698504824864,76.80253704983959,73.96242393117133,75.31731534308652,68.6,78.68,62.69123295533514,65.62179125153975,77.47758944111543,88.47064962615113,70.72538921202775,82.41439702367937,82.37142287429964,74.1073718943669,73.97599380926361,0.028937119990587234,0.8060205948442584,0.19987311959266663,0.5054839253425598,235.62188590749253,-1.867692232131958,4687225,70768481,469.75830078125,0.6656652999715218,0.2792457159237839,0.3864195855307918,0.5132511663493387,20260902-180632-fef8cf,,,NVIDIA H200,hybrid,direct,True,mutual,1.0,"[1, 2, 4]",23,40,26,0.1,3e-05,hybrid
